source,line,function,ncalls,tottime,cumtime,backend,run
solution_clean_pennylane.py,10,VQSVD,1,2.5e-06,2.5e-06,solution_clean_pennylane,2
solution_clean_qiskit.py,187,LossPlot,1,2.2e-06,2.2e-06,solution_clean_qiskit,3
solution_clean_qiskit.py,187,LossPlot,1,2.0000000000000003e-06,2.0000000000000003e-06,solution_clean_qiskit,2
solution_clean_qiskit.py,187,LossPlot,1,2.0000000000000003e-06,2.0000000000000003e-06,solution_clean_qiskit,5
solution_clean_qiskit.py,187,LossPlot,1,1.9e-06,1.9e-06,solution_clean_qiskit,1
solution_clean_pennylane.py,128,LossPlot,1,1.8000000000000001e-06,1.8000000000000001e-06,solution_clean_pennylane,3
solution_clean_pennylane.py,128,LossPlot,1,1.8000000000000001e-06,1.8000000000000001e-06,solution_clean_pennylane,4
solution_clean_pennylane.py,128,LossPlot,1,1.5e-06,1.5e-06,solution_clean_pennylane,5
solution_clean_pennylane.py,128,LossPlot,1,1.5e-06,1.5e-06,solution_clean_pennylane,1
solution_clean_pennylane.py,128,LossPlot,1,1.4000000000000001e-06,1.4000000000000001e-06,solution_clean_pennylane,2
solution_clean_qiskit.py,245,MatGenerator,1,1.1e-06,1.1e-06,solution_clean_qiskit,1
solution_clean_qiskit.py,245,MatGenerator,1,1.0000000000000002e-06,1.0000000000000002e-06,solution_clean_qiskit,4
solution_clean_qiskit.py,245,MatGenerator,1,9.000000000000001e-07,9.000000000000001e-07,solution_clean_qiskit,2
solution_clean_qiskit.py,75,get_matrix_U,1,9.000000000000001e-07,9.000000000000001e-07,solution_clean_qiskit,2
solution_clean_qiskit.py,245,MatGenerator,1,9.000000000000001e-07,9.000000000000001e-07,solution_clean_qiskit,3
solution_clean_pennylane.py,129,__init__,1,8.000000000000001e-07,8.000000000000001e-07,solution_clean_pennylane,5
solution_clean_qiskit.py,245,MatGenerator,1,8.000000000000001e-07,8.000000000000001e-07,solution_clean_qiskit,5
solution_clean_qiskit.py,75,get_matrix_U,1,7.000000000000001e-07,7.000000000000001e-07,solution_clean_qiskit,3
solution_clean_pennylane.py,129,__init__,1,7.000000000000001e-07,7.000000000000001e-07,solution_clean_pennylane,1
solution_clean_pennylane.py,65,get_matrix_U,1,7.000000000000001e-07,7.000000000000001e-07,solution_clean_pennylane,2
solution_clean_pennylane.py,129,__init__,1,7.000000000000001e-07,7.000000000000001e-07,solution_clean_pennylane,4
solution_clean_pennylane.py,129,__init__,1,6.000000000000001e-07,6.000000000000001e-07,solution_clean_pennylane,2
solution_clean_qiskit.py,75,get_matrix_U,1,6.000000000000001e-07,6.000000000000001e-07,solution_clean_qiskit,4
solution_clean_pennylane.py,176,MatGenerator,1,6.000000000000001e-07,6.000000000000001e-07,solution_clean_pennylane,4
solution_clean_qiskit.py,246,__init__,1,6.000000000000001e-07,6.000000000000001e-07,solution_clean_qiskit,5
solution_clean_qiskit.py,78,get_matrix_V,1,5.000000000000001e-07,5.000000000000001e-07,solution_clean_qiskit,3
solution_clean_pennylane.py,129,__init__,1,5.000000000000001e-07,5.000000000000001e-07,solution_clean_pennylane,3
solution_clean_pennylane.py,176,MatGenerator,1,5.000000000000001e-07,5.000000000000001e-07,solution_clean_pennylane,5
solution_clean_qiskit.py,246,__init__,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_qiskit,2
solution_clean_qiskit.py,75,get_matrix_U,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_qiskit,5
solution_clean_qiskit.py,75,get_matrix_U,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_qiskit,1
solution_clean_pennylane.py,68,get_matrix_V,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_pennylane,5
solution_clean_pennylane.py,177,__init__,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_pennylane,5
solution_clean_pennylane.py,177,__init__,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_pennylane,3
solution_clean_pennylane.py,177,__init__,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_pennylane,1
solution_clean_qiskit.py,78,get_matrix_V,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_qiskit,2
solution_clean_pennylane.py,176,MatGenerator,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_pennylane,3
solution_clean_pennylane.py,65,get_matrix_U,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_pennylane,1
solution_clean_qiskit.py,246,__init__,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_qiskit,1
solution_clean_qiskit.py,246,__init__,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_qiskit,3
solution_clean_pennylane.py,176,MatGenerator,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_pennylane,1
solution_clean_pennylane.py,68,get_matrix_V,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_pennylane,4
solution_clean_pennylane.py,176,MatGenerator,1,4.0000000000000003e-07,4.0000000000000003e-07,solution_clean_pennylane,2
solution_clean_qiskit.py,78,get_matrix_V,1,3.0000000000000004e-07,3.0000000000000004e-07,solution_clean_qiskit,5
solution_clean_qiskit.py,246,__init__,1,3.0000000000000004e-07,3.0000000000000004e-07,solution_clean_qiskit,4
solution_clean_pennylane.py,177,__init__,1,3.0000000000000004e-07,3.0000000000000004e-07,solution_clean_pennylane,4
solution_clean_qiskit.py,78,get_matrix_V,1,3.0000000000000004e-07,3.0000000000000004e-07,solution_clean_qiskit,1
solution_clean_pennylane.py,65,get_matrix_U,1,3.0000000000000004e-07,3.0000000000000004e-07,solution_clean_pennylane,5
solution_clean_pennylane.py,65,get_matrix_U,1,3.0000000000000004e-07,3.0000000000000004e-07,solution_clean_pennylane,3
solution_clean_pennylane.py,65,get_matrix_U,1,3.0000000000000004e-07,3.0000000000000004e-07,solution_clean_pennylane,4
solution_clean_pennylane.py,68,get_matrix_V,1,3.0000000000000004e-07,3.0000000000000004e-07,solution_clean_pennylane,2
solution_clean_pennylane.py,177,__init__,1,3.0000000000000004e-07,3.0000000000000004e-07,solution_clean_pennylane,2
solution_clean_qiskit.py,78,get_matrix_V,1,2.0000000000000002e-07,2.0000000000000002e-07,solution_clean_qiskit,4
solution_clean_pennylane.py,68,get_matrix_V,1,2.0000000000000002e-07,2.0000000000000002e-07,solution_clean_pennylane,1
solution_clean_pennylane.py,68,get_matrix_V,1,1.0000000000000001e-07,1.0000000000000001e-07,solution_clean_pennylane,3
