file,line,function,ncalls,tottime,cumtime,backend,run
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.040647800000000005,2426.3759634000003,solution_clean_pennylane,4
solution_clean_pennylane.py,71,loss_func,200,0.011201500000000001,2414.542039,solution_clean_pennylane,2
solution_clean_pennylane.py,71,loss_func,200,0.0116767,2411.577425,solution_clean_pennylane,4
solution_clean_pennylane.py,95,<lambda>,100,0.0003145,1872.7520782000001,solution_clean_pennylane,1
solution_clean_pennylane.py,95,<lambda>,100,0.0002837,1720.788315,solution_clean_pennylane,5
solution_clean_pennylane.py,95,<lambda>,100,0.0002436,1659.1022560000001,solution_clean_pennylane,3
solution_clean_pennylane.py,95,<lambda>,100,0.00023730000000000002,1641.5879348,solution_clean_pennylane,2
solution_clean_pennylane.py,95,<lambda>,100,0.00022290000000000002,1639.3725445,solution_clean_pennylane,4
solution_clean_pennylane.py,36,_basis_circuit,12928,0.0978677,224.428573,solution_clean_pennylane,1
solution_clean_pennylane.py,49,ansatz,12928,4.809895200000001,223.37858970000002,solution_clean_pennylane,1
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.27340810000000004,208.5180062,solution_clean_qiskit,2
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2689839,206.68281290000002,solution_clean_qiskit,3
solution_clean_qiskit.py,81,loss_func,200,0.0231311,206.4722566,solution_clean_qiskit,2
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2710134,205.62267350000002,solution_clean_qiskit,1
solution_clean_pennylane.py,36,_basis_circuit,12928,0.08369610000000001,205.17231990000002,solution_clean_pennylane,5
solution_clean_qiskit.py,81,loss_func,200,0.0218406,205.08845720000002,solution_clean_qiskit,3
solution_clean_pennylane.py,49,ansatz,12928,4.4017583,204.21254280000002,solution_clean_pennylane,5
solution_clean_qiskit.py,81,loss_func,200,0.0222965,203.8658609,solution_clean_qiskit,1
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2531105,200.16318980000003,solution_clean_qiskit,4
solution_clean_qiskit.py,81,loss_func,200,0.021561200000000003,198.39981110000002,solution_clean_qiskit,4
solution_clean_pennylane.py,36,_basis_circuit,12928,0.0880327,198.18864960000002,solution_clean_pennylane,3
solution_clean_pennylane.py,49,ansatz,12928,4.2491914,197.26035750000003,solution_clean_pennylane,3
solution_clean_pennylane.py,36,_basis_circuit,12928,0.08704780000000001,195.8981061,solution_clean_pennylane,2
solution_clean_pennylane.py,36,_basis_circuit,12928,0.08844350000000001,195.7264662,solution_clean_pennylane,4
